[25.11.2024 14:07:39,23] Bot starting... 
[25.11.2024 14:12:38,96] Bot exited with code 0 
[25.11.2024 14:12:47,66] Bot starting... 
[25.11.2024 14:13:22,14] Bot exited with code 0 
[25.11.2024 14:17:01,35] Bot starting... 
[25.11.2024 14:17:32,93] Bot exited with code 0 
[25.11.2024 18:47:15,61] Bot starting... 
[25.11.2024 18:47:35,10] Bot exited with code 0 
[25.11.2024 18:50:07,64] Bot starting... 
[25.11.2024 18:51:45,23] Bot exited with code 0 
[25.11.2024 19:01:46,96] Bot starting... 
[25.11.2024 19:02:42,15] Bot starting... 
[25.11.2024 19:04:31,45] Bot starting... 
[25.11.2024 19:13:14,38] Bot starting... 
[25.11.2024 19:13:14,53] Bot exited with code 1 
[25.11.2024 19:13:14,53] Restarting bot... 
[25.11.2024 19:13:19,19] Bot starting... 
[25.11.2024 19:13:19,30] Bot exited with code 1 
[25.11.2024 19:13:19,30] Restarting bot... 
[25.11.2024 19:13:24,18] Bot starting... 
[25.11.2024 19:13:24,31] Bot exited with code 1 
[25.11.2024 19:13:24,31] Restarting bot... 
[25.11.2024 19:14:17,92] Bot starting... 
[25.11.2024 19:14:18,05] Bot exited with code 1 
[25.11.2024 19:14:18,05] Restarting bot... 
[25.11.2024 19:14:43,66] Bot starting... 
[25.11.2024 19:14:43,80] Bot exited with code 1 
[25.11.2024 19:14:43,81] Restarting bot... 
[25.11.2024 19:15:31,37] Bot starting... 
[25.11.2024 19:18:25,10] Bot starting... 
[25.11.2024 19:22:30,74] Bot starting... 
[25.11.2024 19:23:35,25] Bot starting... 
[25.11.2024 19:26:10,84] Bot starting... 
[26.11.2024 16:55:56,58] Bot starting... 
[26.11.2024 16:55:56,96] Bot exited with code 1 
[26.11.2024 16:55:56,96] Restarting bot... 
[26.11.2024 16:56:01,17] Bot starting... 
[26.11.2024 16:56:01,33] Bot exited with code 1 
[26.11.2024 16:56:01,34] Restarting bot... 
[26.11.2024 16:56:06,16] Bot starting... 
[26.11.2024 16:56:06,30] Bot exited with code 1 
[26.11.2024 16:56:06,30] Restarting bot... 
[26.11.2024 16:56:11,14] Bot starting... 
[26.11.2024 16:56:11,24] Bot exited with code 1 
[26.11.2024 16:56:11,24] Restarting bot... 
[26.11.2024 16:56:16,18] Bot starting... 
[26.11.2024 16:56:16,34] Bot exited with code 1 
[26.11.2024 16:56:16,34] Restarting bot... 
[26.11.2024 16:56:21,17] Bot starting... 
[26.11.2024 16:56:21,33] Bot exited with code 1 
[26.11.2024 16:56:21,33] Restarting bot... 
[26.11.2024 16:56:26,16] Bot starting... 
[26.11.2024 16:56:26,28] Bot exited with code 1 
[26.11.2024 16:56:26,29] Restarting bot... 
[26.11.2024 16:56:31,23] Bot starting... 
[26.11.2024 16:56:31,39] Bot exited with code 1 
[26.11.2024 16:56:31,39] Restarting bot... 
[26.11.2024 16:56:36,22] Bot starting... 
